Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
148.03,157.38,147.83,154.5,154338835,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-03
152.57,153.1,150.78,151.73,69771906,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-06
150.64,155.23,150.64,154.65,83322551,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-07
153.88,154.58,151.17,151.92,63620079,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-08
153.78,154.33,150.42,150.87,55994243,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-09
149.46,151.34,149.22,151.01,57388108,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-10
150.95,154.26,150.92,153.85,62199013,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-13
152.12,153.77,150.86,153.2,61664023,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-14
153.11,155.5,152.88,155.33,65665252,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-15
153.51,156.33,153.35,153.71,68167942,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-16
152.35,153.0,150.85,152.55,59105618,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-17
150.2,151.3,148.4,148.48,58217230,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-21
148.87,149.95,147.16,148.91,51008155,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-22
150.09,150.34,147.24,149.4,48392049,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-23
147.11,147.19,145.72,146.71,55469606,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-24
147.71,149.17,147.45,147.92,44998470,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-27
147.05,149.08,146.83,147.41,50546998,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-02-28
146.83,147.23,145.01,145.31,55478991,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-01
144.38,146.71,143.9,145.91,52279761,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-02
148.04,151.11,147.33,151.03,70725339,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-03
153.78,156.3,153.46,153.83,87558028,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-06
153.7,154.03,151.13,151.6,56136378,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-07
152.81,153.47,151.83,152.87,47204791,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-08
153.56,154.54,150.22,150.59,53833122,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-09
150.21,150.94,147.61,148.5,68559600,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-10
147.8,153.14,147.7,150.47,84457122,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-13
151.28,153.4,150.1,152.59,72045893,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-14
151.19,153.24,149.92,152.99,77167866,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-15
152.16,156.46,151.64,155.85,76206919,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-16
156.08,156.74,154.28,155.0,98944633,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-17
155.07,157.82,154.15,157.4,72711415,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-20
157.32,159.4,156.54,159.28,73938285,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-21
159.3,162.14,157.81,157.83,75349311,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-22
158.83,161.55,157.68,158.93,67482060,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-23
158.86,160.34,157.85,160.25,59006343,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-24
159.94,160.77,157.87,158.28,52390266,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-27
157.97,158.49,155.98,157.65,45992152,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-28
159.37,161.05,159.35,160.77,51305691,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-29
161.53,162.47,161.27,162.36,49210289,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-30
162.44,165.0,161.91,164.9,68749792,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-03-31
164.27,166.29,164.22,166.17,56976187,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-03
166.6,166.84,165.11,165.63,46278295,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-04
164.74,165.05,161.8,163.76,51511744,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-05
162.43,164.96,162.0,164.66,45390123,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-06
161.42,162.03,160.08,162.03,47670382,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-10
162.35,162.36,160.51,160.8,47494217,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-11
161.22,162.06,159.78,160.1,50133062,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-12
161.63,165.8,161.42,165.56,68418649,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-13
164.59,166.32,163.82,165.21,49314480,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-14
165.09,165.39,164.03,165.23,41516217,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-17
166.1,167.41,165.65,166.47,49915508,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-18
165.8,168.16,165.54,167.63,47621166,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-19
166.09,167.87,165.56,166.65,52456377,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-20
165.05,166.45,164.49,165.02,57736141,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-21
165.0,165.6,163.89,165.33,41449581,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-24
165.19,166.3,163.73,163.77,48652863,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-25
163.06,165.28,162.8,163.76,45487296,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-26
165.19,168.56,165.19,168.41,64898729,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-27
168.49,169.85,167.88,169.68,55275851,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-04-28
169.28,170.45,168.64,169.59,52424936,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-01
170.09,170.35,167.54,168.54,48425696,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-02
169.5,170.92,167.16,167.45,65126998,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-03
164.89,167.04,164.31,165.79,81225673,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-04
170.98,174.3,170.76,173.57,113402971,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-05
172.48,173.85,172.11,173.5,55962634,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-08
173.05,173.54,171.6,171.77,45326874,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-09
173.02,174.03,171.9,173.56,53724501,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-10
173.85,174.59,172.17,173.75,49473076,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-11
173.62,174.06,171.0,172.57,45533138,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-12
173.16,173.21,171.47,172.07,37264259,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-15
171.99,173.14,171.8,172.07,42110293,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-16
171.71,172.92,170.42,172.69,57934404,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-17
173.0,175.24,172.58,175.05,65496657,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-18
176.39,176.39,174.94,175.16,55525641,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-19
173.98,174.71,173.45,174.2,43570932,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-22
173.13,173.38,171.28,171.56,50745163,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-23
171.09,172.42,170.52,171.84,43711588,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-24
172.41,173.9,171.69,172.99,55889523,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-25
173.32,175.77,173.11,175.43,54834975,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-26
176.96,178.99,176.57,177.3,55963954,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-30
177.32,179.35,176.76,177.25,99625288,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-05-31
177.7,180.12,176.93,180.09,68901712,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-01
181.03,181.78,179.26,180.95,61996852,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-02
182.63,184.95,178.04,179.58,121722517,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-05
179.96,180.12,177.43,179.21,64845314,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-06
178.44,181.21,177.32,177.82,61944615,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-07
177.9,180.84,177.46,180.57,50210681,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-08
181.5,182.23,180.63,180.96,48869360,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-09
181.27,183.89,180.97,183.79,54754995,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-12
182.8,184.15,182.44,183.31,54867129,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-13
183.37,184.39,182.02,183.95,57462782,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-14
183.96,186.52,183.78,186.01,65433166,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-15
186.73,186.99,184.27,184.92,101151225,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-16
184.41,186.1,184.41,185.01,49799092,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-20
184.9,185.41,182.59,183.96,49515697,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-21
183.74,187.04,183.67,187.0,51245327,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-22
185.55,187.56,185.01,186.68,53112346,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-23
186.83,188.05,185.23,185.27,48088661,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-26
185.89,188.39,185.67,188.06,50731499,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-27
187.93,189.9,187.6,189.25,51216801,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-28
189.08,190.07,188.94,189.59,46347308,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-29
191.63,194.48,191.26,193.97,85068452,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-06-30
193.78,193.88,191.76,192.46,31458198,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-03
191.56,192.98,190.62,191.33,46896861,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-05
189.84,192.02,189.2,191.81,45155523,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-06
191.41,192.67,190.24,190.68,46757498,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-07
189.26,189.99,187.04,188.61,59912163,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-10
189.16,189.3,186.6,188.08,46638119,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-11
189.68,191.7,188.47,189.77,60750218,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-12
190.5,191.19,189.78,190.54,41337338,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-13
190.23,191.18,189.63,190.69,41616242,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-14
191.9,194.32,191.81,193.99,50520159,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-17
193.35,194.33,192.42,193.73,48153774,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-18
193.1,198.23,192.65,195.1,80492323,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-19
195.09,196.47,192.5,193.13,59581196,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-20
194.1,194.97,191.23,191.94,71451683,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-21
193.41,194.91,192.25,192.75,45507451,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-24
193.33,194.44,192.92,193.62,37283201,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-25
193.67,195.64,193.32,194.5,47471868,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-26
196.02,197.2,192.55,193.22,47439680,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-27
194.67,196.63,194.14,195.83,47691443,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-28
196.06,196.49,195.26,196.45,38824113,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-07-31
196.24,196.73,195.28,195.6,35281426,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-01
195.04,195.18,191.85,192.58,50388811,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-02
191.57,192.37,190.69,191.17,62243282,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-03
185.52,187.38,181.92,181.99,115956841,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-04
182.13,183.13,177.35,178.85,97105069,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-07
179.69,180.27,177.58,179.8,67769003,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-08
180.87,180.93,177.01,178.19,60303492,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-09
179.48,180.75,177.6,177.97,54686851,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-10
177.32,178.62,176.55,177.79,51036672,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-11
177.97,179.69,177.3,179.46,43675627,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-14
178.88,179.48,177.05,177.45,43574863,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-15
177.13,178.54,176.5,176.57,45712957,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-16
177.14,177.51,173.48,174.0,66054482,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-17
172.3,175.1,171.96,174.49,60171878,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-18
175.07,176.13,173.74,175.84,46161959,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-21
177.06,177.68,176.25,177.23,42057245,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-22
178.52,181.55,178.32,181.12,52722752,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-23
180.67,181.1,176.01,176.38,54912798,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-24
177.38,179.15,175.82,178.61,51439994,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-25
180.09,180.59,178.54,180.19,43803238,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-28
179.7,184.9,179.5,184.12,52953948,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-29
184.94,187.85,184.74,187.65,60803988,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-30
187.84,189.12,187.48,187.87,60794467,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-08-31
189.48,189.92,188.28,189.46,45393903,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-01
188.28,189.98,187.61,189.7,45280027,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-05
188.4,188.85,181.47,182.91,81753366,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-06
175.18,178.21,173.54,177.56,112416703,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-07
178.35,180.24,177.79,178.18,65402066,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-08
180.07,180.3,177.34,179.36,58953052,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-11
179.49,180.13,174.82,176.3,90316192,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-12
176.51,177.3,173.98,174.21,84267928,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-13
174.0,176.1,173.58,175.74,60345757,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-14
176.48,176.5,173.82,175.01,109259461,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-15
176.48,179.38,176.17,177.97,67257573,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-18
177.52,179.63,177.13,179.07,51826941,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-19
179.26,179.7,175.4,175.49,58436181,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-20
174.55,176.3,173.86,173.93,62449116,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-21
174.67,177.08,174.05,174.79,56688985,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-22
174.2,176.97,174.15,176.08,46172740,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-25
174.82,175.2,171.66,171.96,64548945,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-26
172.62,173.04,169.05,170.43,66920708,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-27
169.34,172.03,167.62,170.69,56294419,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-28
172.02,173.07,170.34,171.21,51861083,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-09-29
171.22,174.3,170.93,173.75,52156935,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-02
172.26,173.63,170.82,172.4,49594613,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-03
171.09,174.21,170.97,173.66,53006286,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-04
173.79,175.45,172.68,174.91,48527918,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-05
173.8,177.99,173.18,177.49,57266675,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-06
176.81,179.05,175.8,178.99,42344772,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-09
178.1,179.72,177.95,178.39,43698019,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-10
178.2,179.85,177.6,179.8,47544848,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-11
180.07,182.34,179.04,180.71,56743119,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-12
181.42,181.93,178.14,178.85,51412082,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-13
176.75,179.08,176.51,178.72,52516984,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-16
176.64,178.42,174.8,177.15,57549350,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-17
175.58,177.58,175.11,175.84,54764375,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-18
176.04,177.84,175.19,175.46,59192863,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-19
175.31,175.42,172.64,172.88,64211828,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-20
170.91,174.01,169.93,173.0,55980109,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-23
173.05,173.67,171.45,173.44,43816644,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-24
171.88,173.06,170.65,171.1,57156962,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-25
170.37,171.38,165.67,166.89,70625258,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-26
166.91,168.96,166.83,168.22,58257129,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-27
169.02,171.17,168.87,170.29,51239218,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-30
169.35,170.9,167.9,170.77,44846017,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-10-31
171.0,174.23,170.12,173.97,56934906,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-11-01
175.52,177.78,175.46,177.57,77292052,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-11-02
174.24,176.82,173.35,176.65,79829246,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-11-03
176.38,179.43,176.21,179.23,63841310,0.0,0.0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2023-11-06
